Player,Alghoritm,Heuristic,TotalMoves,TotalTime,Points,Winner,depth
PLAYER_1,MIN_MAX,ALMOST_MILL,73669,145265,2,PLAYER_2,4
PLAYER_2,MIN_MAX,ALMOST_MILL,3902,7023,9,PLAYER_2,3

PLAYER_1,MIN_MAX,MILL_NEXT,62603,122757,2,PLAYER_2,4
PLAYER_2,MIN_MAX,MILL_NEXT,3828,7257,9,PLAYER_2,3

PLAYER_1,MIN_MAX,ALMOST_MILL,4212,9987,2,PLAYER_2,3
PLAYER_2,MIN_MAX,ALMOST_MILL,66546,175417,9,PLAYER_2,4

PLAYER_1,MIN_MAX,MILL_NEXT,4367,10417,2,PLAYER_2,3
PLAYER_2,MIN_MAX,MILL_NEXT,82680,255375,9,PLAYER_2,4

PLAYER_1,ALPHA_BETA,MILL_NEXT,10879,109465,2,PLAYER_2,3
PLAYER_2,ALPHA_BETA,MILL_NEXT,138566,1500874,7,PLAYER_2,4
